date,assets,current_assets,cashandcashequivalents,shortterminvestments,cashandshortterminvestments,netreceivables,inventory,othercurrentassets,totalcurrentassets,non_current_assets,propertyplantequipmentnet,goodwill,intangibleassets,goodwillandintangibleassets,longterminvestments,taxassets,othernoncurrentassets,totalnoncurrentassets,total_assets,otherassets,totalassets,liabilities,current_liabilities,accountpayables,shorttermdebt,taxpayables,deferredrevenue,othercurrentliabilities,totalcurrentliabilities,non_current_liabilities,longtermdebt,deferredrevenuenoncurrent,deferrredtaxliabilitiesnoncurrent,othernoncurrentliabilities,totalnoncurrentliabilities,total_liabilities,otherliabilities,totalliabilities,stockholders_equity,commonstock,retainedearnings,accumulatedothercomprehensiveincomeloss,othertotalstockholdersequity,totalstockholdersequity,liabilities_and_equity,totalliabilitiesandstockholdersequity,investment_and_debt,totalinvestments,totaldebt,netdebt
2021-12-31,,,49300000,0,49300000,1082400000,484500000,61500000,1677700000,,538500000,99600000,42700000,142300000,7700000,47100000,25100000,760700000,,0,2438400000,,,561900000,96200000,17800000,0,197700000,873600000,,829000000,0,0,100000000,929000000,,0,1802600000,,200000,143200000,-24300000,516700000,635800000,,2438400000,,0,925200000,875900000
2020-12-31,,,120600000,0,120600000,905100000,465400000,63900000,1555000000,,546400000,99600000,47400000,147000000,7300000,60000000,19300000,780000000,,0,2335000000,,,471900000,96600000,18800000,60000000,102100000,749400000,,520200000,0,0,482300000,1002500000,,0,1751900000,,200000,-1400000,-33500000,617800000,583100000,,2335000000,,0,616800000,496200000
2019-12-31,,,38000000,0,38000000,978400000,552900000,61300000,1630600000,,646100000,99600000,52200000,151800000,7100000,57000000,18500000,880500000,,0,2511100000,,,476900000,103100000,9000000,0,142500000,731500000,,742400000,0,0,501000000,1243400000,,0,1974900000,,200000,-35300000,-33100000,604400000,536200000,,2511100000,,0,845500000,807500000
2018-12-31,,,64300000,0,64300000,1262600000,688200000,69200000,2084300000,,206700000,99600000,57200000,156800000,6700000,56500000,18700000,445400000,,0,2529700000,,,641900000,7300000,9900000,0,190600000,849700000,,963600000,0,0,173300000,1136900000,,0,1986600000,,200000,-8500000,-40700000,592100000,543100000,,2529700000,,0,970900000,906600000
2017-12-31,,,80300000,0,80300000,1238700000,722700000,72400000,2114100000,,340200000,99600000,64100000,163700000,6400000,59600000,24400000,594300000,,0,2708400000,,,680100000,10700000,12100000,0,204500000,907400000,,908300000,0,0,343000000,1251300000,,0,2158700000,,200000,6400000,-33500000,576600000,549700000,,2708400000,,0,919000000,838700000
2016-12-31,,,69600000,0,69600000,1114500000,707900000,56600000,1948600000,,371800000,50200000,21000000,71200000,6000000,61800000,24300000,535100000,,0,2483700000,,,654100000,17800000,9100000,0,186800000,867800000,,749200000,0,0,324900000,1074100000,,0,1941900000,,200000,19700000,-39000000,560900000,541800000,,2483700000,,0,767000000,697400000
2015-12-31,,,54400000,0,54400000,1098400000,720600000,51800000,1925200000,,363700000,50200000,30200000,80400000,5800000,73300000,28500000,551700000,,0,2476900000,,,565100000,17500000,13700000,0,217900000,814200000,,800500000,0,0,332100000,1132600000,,0,1946800000,,200000,-1300000,-35000000,566200000,530100000,,2476900000,,0,818000000,763600000
2014-12-31,,,57600000,0,57600000,1177100000,673200000,51200000,1959100000,,377400000,52400000,36100000,88500000,5700000,105600000,38200000,615400000,,0,2574500000,,,589800000,17600000,15300000,0,228400000,851100000,,855000000,0,0,355900000,1210900000,,0,2062000000,,200000,-28000000,-22100000,562400000,512500000,,2574500000,,0,872600000,815000000
2013-12-31,,,22200000,0,22200000,470600000,314700000,63100000,870600000,,76300000,23400000,20900000,44300000,0,210000000,14000000,344600000,,0,1215200000,,,233800000,12100000,0,0,98500000,344400000,,325400000,0,0,293600000,619000000,,0,963400000,,300000,-63400000,4700000,310200000,251800000,,1215200000,,0,337500000,315300000
2012-12-31,,,30600000,0,30600000,474700000,315200000,61700000,882200000,,80200000,23400000,24300000,47700000,0,8800000,20300000,157000000,,0,1039200000,,,279500000,11200000,0,0,105900000,396600000,,315900000,0,0,313300000,629200000,,0,1025800000,,300000,-305800000,-10300000,329200000,13400000,,1039200000,,0,327100000,296500000
