date,cashprovidedbyoperatingactivites,netincome,depreciationandamortization,deferredincometax,stockbasedcompensation,changeinworkingcapital,accountsreceivables,inventory,accountspayables,otherworkingcapital,othernoncashitems,netcashprovidedbyoperatingactivites,cashprovidedbyinvestingactivites,investmentsinpropertyplantandequipment,acquisitionsnet,purchasesofinvestments,salesmaturitiesofinvestments,otherinvestingactivites,netcashusedforinvestingactivites,cashprovidedbyfinancingingactivites,debtrepayment,commonstockissued,commonstockrepurchased,dividendspaid,otherfinancingactivites,netcashusedprovidedbyfinancingactivities,other,effectofforexchangesoncash,cashflow,netchangeincash,cashatendofperiod,cashatbeginningofperiod,operatingcashflow,capitalexpenditure,freecashflow
2021-12-31,,144600000.00,55200000.00,9200000.00,7400000.00,-69000000.00,-172600000.00,-22100000.00,110000000.00,6400000.00,7300000.00,154700000.00,,-20400000.00,16100000.00,0.00,0.00,16100000.00,-4300000.00,,-5828300000.00,0.00,-100000000.00,0.00,5706900000.00,-221400000.00,,-300000.00,,-71300000.00,49300000.00,120600000.00,154700000.00,-20400000.00,134300000.00
2020-12-31,,34200000.00,57700000.00,-1800000.00,17700000.00,187000000.00,0.00,89700000.00,0.00,22400000.00,-5600000.00,289200000.00,,-23600000.00,0.00,0.00,0.00,18300000.00,-5300000.00,,-5732200000.00,0.00,-3500000.00,0.00,5533100000.00,-202600000.00,,1300000.00,,82600000.00,120600000.00,38000000.00,289200000.00,-23600000.00,265600000.00
2019-12-31,,-29500000.00,53500000.00,-2700000.00,14600000.00,215100000.00,0.00,139700000.00,0.00,11000000.00,30000000.00,281000000.00,,-34100000.00,0.00,0.00,0.00,500000.00,-33600000.00,,-7016100000.00,0.00,0.00,0.00,6742200000.00,-273900000.00,,200000.00,,-26300000.00,38000000.00,64300000.00,281000000.00,-34100000.00,246900000.00
2018-12-31,,-15700000.00,53500000.00,2000000.00,18100000.00,-46200000.00,0.00,26400000.00,0.00,9800000.00,3300000.00,15000000.00,,-45400000.00,0.00,0.00,0.00,23700000.00,-21700000.00,,-5783300000.00,0.00,0.00,0.00,5774600000.00,-8700000.00,,-600000.00,,-16000000.00,64300000.00,80300000.00,15000000.00,-45400000.00,-30400000.00
2017-12-31,,-13300000.00,54200000.00,1900000.00,15700000.00,-14300000.00,0.00,30100000.00,0.00,15300000.00,-7600000.00,36600000.00,,-32500000.00,-144800000.00,0.00,0.00,51100000.00,-126200000.00,,-4750600000.00,0.00,0.00,0.00,4849800000.00,99200000.00,,1100000.00,,10700000.00,80300000.00,69600000.00,36600000.00,-32500000.00,4100000.00
2016-12-31,,21000000.00,54700000.00,11100000.00,8300000.00,26700000.00,0.00,13100000.00,0.00,14300000.00,18400000.00,140200000.00,,-41000000.00,0.00,0.00,0.00,6600000.00,-34400000.00,,-4649000000.00,0.00,-13600000.00,0.00,4572700000.00,-89900000.00,,-700000.00,,15200000.00,69600000.00,54400000.00,140200000.00,-41000000.00,99200000.00
2015-12-31,,26700000.00,56900000.00,14900000.00,3800000.00,-9500000.00,0.00,-62000000.00,0.00,3100000.00,20200000.00,113000000.00,,-44400000.00,0.00,0.00,0.00,300000.00,-44100000.00,,-4726500000.00,0.00,0.00,0.00,4656100000.00,-70400000.00,,-1700000.00,,-3200000.00,54400000.00,57600000.00,113000000.00,-44400000.00,68600000.00
2014-12-31,,-19600000.00,37600000.00,-9700000.00,4300000.00,-20900000.00,0.00,28200000.00,0.00,-400000.00,13300000.00,5000000.00,,-17200000.00,31800000.00,0.00,0.00,5300000.00,19900000.00,,-2606400000.00,0.00,0.00,0.00,2629400000.00,23000000.00,,4000000.00,,51900000.00,57600000.00,5700000.00,5000000.00,-17200000.00,-12200000.00
2013-12-31,,200000.00,25100000.00,-230300000.00,400000.00,-44300000.00,-5900000.00,-8600000.00,-56200000.00,600000.00,247400000.00,-1500000.00,,-18000000.00,0.00,0.00,0.00,7700000.00,-10300000.00,,-3764600000.00,0.00,0.00,0.00,3768200000.00,3600000.00,,-200000.00,,-8400000.00,22200000.00,30600000.00,-1500000.00,-18000000.00,-19500000.00
2012-12-31,,4400000.00,15200000.00,1400000.00,13100000.00,9300000.00,0.00,12300000.00,0.00,-600000.00,12600000.00,56000000.00,,-13300000.00,0.00,0.00,0.00,5800000.00,-7500000.00,,0.00,0.00,0.00,0.00,-46300000.00,-46300000.00,,-1500000.00,,700000.00,15400000.00,14700000.00,56000000.00,-13300000.00,42700000.00
2011-12-31,,21900000.00,24500000.00,-1300000.00,1300000.00,-12800000.00,-12500000.00,8000000.00,9300000.00,-4200000.00,7300000.00,40900000.00,,-22300000.00,0.00,0.00,0.00,0.00,-22300000.00,,-4023500000.00,0.00,0.00,0.00,4010200000.00,-13300000.00,,-300000.00,,5000000.00,43900000.00,38900000.00,40900000.00,-22300000.00,18600000.00
