date,revenue,costofrevenue,grossprofit,grossprofitratio,costandexpenses,researchanddevelopmentexpenses,generalandadministrativeexpenses,sellingandmarketingexpenses,otherexpenses,operatingexpenses,costandexpenses,interestexpense,ebita,depreciationandamortization,EBITA,ebitdaratio,income,operatingincome,operatingincomeratio,totalotherincomeexpensesnet,incomebeforetax,incomebeforetaxratio,incometaxexpense,netincome,netincomeratio,eps,EPS,epsdiluted,weightedaverageshsout,weightedaverageshsoutdil
2021-12-31,6850500000.00,5417900000.00,1432600000.00,0.21,,0.00,732700000.00,419300000.00,55200000.00,1207200000.00,6625100000.00,15700000.00,,55200000.00,268400000.00,0.04,,210000000.00,0.03,-12500000.00,197500000.00,0.03,52900000.00,144600000.00,0.02,,9.50,9.01,15220000.00,16050000.00
2020-12-31,6345600000.00,5040200000.00,1305400000.00,0.21,,0.00,0.00,1147700000.00,57700000.00,1205400000.00,6245600000.00,23000000.00,,57700000.00,123700000.00,0.02,,47800000.00,0.01,-4800000.00,43000000.00,0.01,8800000.00,34200000.00,0.01,,2.14,2.08,15960000.00,16480000.00
2019-12-31,7659400000.00,6206200000.00,1453200000.00,0.19,,0.00,0.00,1332500000.00,53500000.00,1386000000.00,7592200000.00,35500000.00,,53500000.00,60200000.00,0.01,,20900000.00,0.00,-49700000.00,-28800000.00,0.00,700000.00,-29500000.00,0.00,,-1.84,-1.84,16060000.00,16060000.00
2018-12-31,8696200000.00,7155700000.00,1540500000.00,0.18,,0.00,867600000.00,1418100000.00,-814100000.00,1471600000.00,8627300000.00,39700000.00,,53500000.00,83000000.00,0.01,,15800000.00,0.00,-26000000.00,-10200000.00,0.00,5500000.00,-15700000.00,0.00,,-0.99,-0.99,15820000.00,15820000.00
2017-12-31,8364700000.00,6846600000.00,1518100000.00,0.18,,0.00,872600000.00,1389500000.00,-818400000.00,1443700000.00,8290300000.00,28600000.00,,54200000.00,80900000.00,0.01,,21200000.00,0.00,-23100000.00,-1900000.00,0.00,11400000.00,-13300000.00,0.00,,-0.85,-0.85,15700000.00,15700000.00
2016-12-31,8326600000.00,6826400000.00,1500200000.00,0.18,,0.00,826200000.00,1331300000.00,-771500000.00,1386000000.00,8212400000.00,21900000.00,,54700000.00,117400000.00,0.01,,75900000.00,0.01,-35100000.00,40800000.00,0.00,19800000.00,21000000.00,0.00,,1.31,1.30,15970000.00,16150000.00
2015-12-31,8717700000.00,7160300000.00,1557400000.00,0.18,,0.00,853900000.00,1375700000.00,-797000000.00,1432600000.00,8592900000.00,22600000.00,,56900000.00,124400000.00,0.01,,78600000.00,0.01,-33700000.00,44900000.00,0.01,18200000.00,26700000.00,0.00,,1.67,1.67,16000000.00,16000000.00
2014-12-31,7406500000.00,6180900000.00,1225600000.00,0.17,,0.00,689100000.00,1115300000.00,-651500000.00,1152900000.00,7333800000.00,11800000.00,,37600000.00,27700000.00,0.00,,-6400000.00,0.00,-15200000.00,-21600000.00,0.00,-2100000.00,-19600000.00,0.00,,-1.62,-1.62,12080000.00,12080000.00
2013-12-31,5652400000.00,4736800000.00,915600000.00,0.16,,0.00,391300000.00,862400000.00,-374200000.00,879500000.00,5616300000.00,27400000.00,,25100000.00,53100000.00,0.01,,-1800000.00,0.00,2200000.00,400000.00,0.00,400000.00,200000.00,0.00,,0.02,0.02,8160000.00,8160000.00
2012-12-31,6012000000.00,5036700000.00,975300000.00,0.16,,0.00,580600000.00,904600000.00,-566600000.00,918600000.00,5955300000.00,0.00,,15200000.00,28700000.00,0.00,,21600000.00,0.00,1900000.00,23500000.00,0.00,9100000.00,4400000.00,0.00,,0.53,0.53,8160000.00,8160000.00
2011-12-31,6509200000.00,5475300000.00,1033900000.00,0.16,,0.00,409000000.00,923200000.00,-393400000.00,938800000.00,6414100000.00,66700000.00,,24500000.00,134300000.00,0.02,,51500000.00,0.01,5200000.00,56700000.00,0.01,21200000.00,21900000.00,0.00,,2.68,2.68,8160000.00,8160000.00
